email_routing_condition_id,email_routing_rule_id,email_routing_condition_seq,email_routing_field_code,email_routing_operator_code,email_routing_condition_value,email_routing_condition_threshold,email_routing_condition_status_flag,email_routing_condition_created_by,email_routing_condition_updated_by,email_routing_condition_create_dt,email_routing_condition_update_dt,email_routing_condition_audit_log
1,DUMMY-2228-001,1,SUBJECT,CONTAINS,File Accepted,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
2,DUMMY-2228-002,1,SUBJECT,CONTAINS,File Accepted,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
3,DUMMY-2228-002,2,SUBJECT,CONTAINS,HSE_P,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
4,DUMMY-2228-003,10,SUBJECT,CONTAINS,File,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
5,DUMMY-2228-003,20,SUBJECT,CONTAINS,Accepted,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
6,DUMMY-2228-003,30,SUBJECT,CONTAINS,HSE_P,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
7,DUMMY-2228-004,2,SUBJECT,CONTAINS,DUMMY-EMAIL,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
8,DUMMY-2228-004,1,SUBJECT,CONTAINS,TESTING-EMAIL,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
9,DUMMY-2228-005,1,SUBJECT,CONTAINS,TEST,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
10,DUMMY-2228-005,2,SUBJECT,CONTAINS,TESTING-EMAIL,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
11,DUMMY-2228-005,3,SUBJECT,CONTAINS,DUMMY-EMAIL,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
12,DUMMY-2228-006,1,SUBJECT,EXACT,Online Portal Hold And Release UPLOAD Notification,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
13,DUMMY-2228-007,1,SUBJECT,EXACT,TEST,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
14,DUMMY-2228-007,2,SUBJECT,EXACT,PING,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
15,DUMMY-2228-008,1,SUBJECT,STARTS_WITH,RE:,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
16,DUMMY-2228-009,1,SUBJECT,ENDS_WITH,_EHS_P,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
17,DUMMY-2228-010,1,SUBJECT,STARTS_WITH,File Accepted,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
18,DUMMY-2228-010,2,SUBJECT,ENDS_WITH,_HSE_P,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
19,DUMMY-2228-011,1,SUBJECT,STARTS_WITH,FW:,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
20,DUMMY-2228-011,2,SUBJECT,CONTAINS,ESCALATION,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
21,DUMMY-2228-012,1,SUBJECT,FUZZY,ESDF,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
22,DUMMY-2228-013,1,SUBJECT,FUZZY,ESDF,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
23,DUMMY-2228-014,1,SUBJECT,FUZZY,Shipment Manifest Confirmation,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
24,DUMMY-2228-015,1,SUBJECT,FUZZY,Quarterly Compliance Report,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
25,DUMMY-2228-016,1,SUBJECT,FUZZY,Invoice Reminder,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
26,DUMMY-2228-016,2,SUBJECT,CONTAINS,PAYMENT,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
27,DUMMY-2228-017,1,SUBJECT,ANY_OF,INVOICE|BILLING|PAYMENT,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
28,DUMMY-2228-018,1,SUBJECT,ANY_OF,HSE_P|EHS_P,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
29,DUMMY-2228-018,2,SUBJECT,CONTAINS,Rejected,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
30,DUMMY-2228-019,1,SUBJECT,CONTAINS,ZZ_NEVER_1,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
31,DUMMY-2228-019,2,SUBJECT,ANY_OF,ZZ_NEVER_2|ZZ_NEVER_3,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
32,DUMMY-2228-019,3,SUBJECT,EXACT,ZZ_NEVER_4,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
33,DUMMY-2228-019,4,SUBJECT,STARTS_WITH,ZZ_NEVER_5,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
34,DUMMY-2228-019,5,SUBJECT,ENDS_WITH,ZZ_NEVER_6,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
35,DUMMY-2228-019,6,SUBJECT,FUZZY,Escalation Notice,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
36,DUMMY-2228-020,1,SUBJECT,STARTS_WITH,File Accepted,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
37,DUMMY-2228-020,2,SUBJECT,CONTAINS,1272,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
38,DUMMY-2228-020,3,SUBJECT,ANY_OF,HSE_P|EHS_P,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
39,DUMMY-2228-020,4,SUBJECT,ENDS_WITH,_HSE_P,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
40,DUMMY-2228-020,5,SUBJECT,FUZZY,File Accepted,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
41,DUMMY-2228-021,1,SUBJECT,CONTAINS,PAYROLL,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
42,DUMMY-2228-022,1,SUBJECT,CONTAINS,HSE_P,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
43,DUMMY-2228-023,1,SUBJECT,FUZZY,ESDF,40,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
44,DUMMY-2228-024,1,SUBJECT,CONTAINS,URGENT,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
45,DUMMY-2228-024,2,SUBJECT,CONTAINS,ZZ_NEVER_PRESENT,,I,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
46,DUMMY-2228-025,1,SUBJECT,CONTAINS,ORPHANED,,I,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
47,DUMMY-2228-025,2,SUBJECT,CONTAINS,ALSO-ORPHANED,,I,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
48,DUMMY-2228-026,1,SUBJECT,CONTAINS,BENEFITS,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
49,DUMMY-2228-027,1,SUBJECT,CONTAINS,NOWHERE-TO-GO,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
50,DUMMY-2228-028,1,SUBJECT,CONTAINS,TEST,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
51,DUMMY-2228-029,1,SUBJECT,CONTAINS,TEST,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
52,DUMMY-2228-030,1,SUBJECT,CONTAINS,TEST,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
53,DUMMY-2228-031,1,SUBJECT,CONTAINS,TEST,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
56,DUMMY-2228-034,1,SUBJECT,CONTAINS,SINGLE-ANY,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
57,DUMMY-2228-035,1,SUBJECT,CONTAINS,Notification** - 1272,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
58,DUMMY-2228-036,1,SUBJECT,CONTAINS,file accepted,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
54,DUMMY-2822-032,1,SUBJECT,CONTAINS,TEST,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
55,DUMMY-2822-033,1,SUBJECT,CONTAINS,File Accepted,,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
