email_routing_rule_id,email_routing_rule_name,email_routing_rule_description,trail_id,email_routing_rule_environment,email_routing_rule_logic,email_routing_rule_match_type,email_routing_rule_fuzzy_threshold,email_routing_rule_enabled_flag,email_routing_rule_status_flag,email_routing_rule_created_by,email_routing_rule_updated_by,email_routing_rule_create_dt,email_routing_rule_update_dt,email_routing_rule_audit_log
DUMMY-2228-001,D01 Single Contains,"ALL logic, one CONTAINS condition",2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-002,D02 Two Contains ALL,"ALL logic, two CONTAINS, both must hit",2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-003,D03 Three Contains ALL,"ALL logic, seq gaps 10/20/30",2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-004,D04 Two Contains ANY,"ANY logic, conditions inserted out of seq order",2228,PROD,ANY,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-005,D05 Three Contains ANY,"ANY logic, three CONTAINS",2228,PROD,ANY,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-006,D06 Exact Single,"ALL logic, one EXACT condition",2228,PROD,ALL,EXACT,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-007,D07 Exact Any,"ANY logic, two EXACT alternatives",2228,PROD,ANY,EXACT,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-008,D08 Starts With,"ALL logic, one STARTS_WITH",2228,PROD,ALL,STARTS_WITH,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-009,D09 Ends With,"ALL logic, one ENDS_WITH",2228,PROD,ALL,ENDS_WITH,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-010,D10 Starts And Ends,"ALL logic, STARTS_WITH + ENDS_WITH combined",2228,PROD,ALL,STARTS_WITH,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-011,D11 Starts Or Contains,"ANY logic, STARTS_WITH + CONTAINS",2228,PROD,ANY,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-012,D12 Fuzzy Thr 60,FUZZY ESDF at a loose threshold,2228,PROD,ALL,FUZZY,60,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-013,D13 Fuzzy Thr 80,FUZZY ESDF at the default threshold,2228,PROD,ALL,FUZZY,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-014,D14 Fuzzy Thr 95,FUZZY phrase at a tight threshold,2228,PROD,ALL,FUZZY,95,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-015,D15 Fuzzy Thr 100,FUZZY phrase demanding a perfect score,2228,PROD,ALL,FUZZY,100,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-016,D16 Fuzzy Or Contains,ANY logic mixing FUZZY 85 with CONTAINS,2228,PROD,ANY,FUZZY,85,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-017,D17 Any Of Single,"ALL logic, one ANY_OF with pipe-delimited values",2228,PROD,ALL,ANY_OF,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-018,D18 Any Of Plus Contains,"ANY logic, ANY_OF + CONTAINS",2228,PROD,ANY,ANY_OF,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-019,D19 All Six Operators ANY,ANY logic across all six operator codes,2228,PROD,ANY,CONTAINS,70,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-020,D20 Five Operators ALL,"ALL logic across five operators, hard to satisfy",2228,PROD,ALL,CONTAINS,70,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-021,D21 Three Recipients,"Three recipients, mixed USER and DISTRIBUTION_LIST",2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-022,D22 Overlaps D02,Deliberately overlaps D02 to prove recipient dedupe,2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-023,D23 Threshold Precedence,"Condition threshold 40 present, rule threshold 90 must win",2228,PROD,ALL,FUZZY,90,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-024,D24 One Condition Inactive,"ALL logic, one condition I, one A",2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-025,D25 All Conditions Inactive,Rule is live but every condition is I,2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-026,D26 One Recipient Inactive,"Two recipients, one I",2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-027,D27 All Recipients Inactive,Rule matches but has nowhere to forward,2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-028,D28 Disabled Flag N,"enabled_flag N, status A - must not load",2228,PROD,ANY,CONTAINS,80,N,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-029,D29 Status Inactive,"enabled_flag Y, status I - must not load",2228,PROD,ANY,CONTAINS,80,Y,I,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-030,D30 Disabled And Inactive,"enabled_flag N, status I - must not load",2228,PROD,ANY,CONTAINS,80,N,I,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-031,D31 Non Prod,environment NON-PROD - must not load in a PROD run,2228,NON-PROD,ANY,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-034,D34 Single Condition ANY,ANY logic with one condition behaves like ALL,2228,PROD,ANY,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-035,D35 Special Characters,Value contains ** and hyphens,2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2228-036,D36 Case Mismatch,Lowercase stored value against uppercase subject,2228,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2822-032,D32 Other Trail A,trail 3611 - must not load for a trail 3610 run,2822,PROD,ALL,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
DUMMY-2822-033,D33 Other Trail B,"trail 3611 second rule - same trail, multiple rules",2822,PROD,ANY,CONTAINS,80,Y,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
